epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,12252.7,0.5626,0.21027,0.0028,0.97592,0.98063,0.99397,0.87381,0.55041,0.18177,0.00284,0.0002444,0.0002444,0.0002444
135,12362.1,0.55437,0.21242,0.0028,0.97575,1,0.99444,0.86731,0.55426,0.18383,0.00287,0.0002312,0.0002312,0.0002312
136,12422.4,0.57264,0.23996,0.00316,0.97636,0.99905,0.9946,0.86961,0.54327,0.17622,0.00279,0.000218,0.000218,0.000218
137,12520.9,0.58976,0.2385,0.00298,1,0.9823,0.99469,0.86907,0.54077,0.17419,0.00276,0.0002048,0.0002048,0.0002048
138,12600.3,0.5582,0.23782,0.00285,0.97369,1,0.99468,0.86725,0.5367,0.17195,0.00273,0.0001916,0.0001916,0.0001916
139,12710.8,0.57501,0.23923,0.00285,1,0.97467,0.99468,0.8761,0.54184,0.17531,0.00274,0.0001784,0.0001784,0.0001784
140,12813.6,0.59274,0.25968,0.00277,0.98319,1,0.99452,0.87181,0.54865,0.1737,0.00281,0.0001652,0.0001652,0.0001652
141,12922,0.49991,0.18749,0.00322,0.97403,1,0.99429,0.86653,0.55166,0.18174,0.00289,0.000152,0.000152,0.000152
142,13002.9,0.52148,0.21501,0.00319,0.99795,0.98387,0.99484,0.86935,0.55019,0.17384,0.00289,0.0001388,0.0001388,0.0001388
143,13103.4,0.47372,0.17216,0.00266,0.99838,0.97581,0.99453,0.86792,0.56021,0.17816,0.00296,0.0001256,0.0001256,0.0001256
144,13206.1,0.47402,0.20301,0.00269,1,0.98087,0.99476,0.86486,0.56107,0.18657,0.0029,0.0001124,0.0001124,0.0001124
145,13315.2,0.49723,0.19973,0.00304,0.98389,0.98529,0.99476,0.86695,0.55692,0.18876,0.00286,9.92e-05,9.92e-05,9.92e-05
146,13396.8,0.46525,0.16988,0.00274,0.98227,0.99194,0.99468,0.86782,0.55754,0.17676,0.00287,8.6e-05,8.6e-05,8.6e-05
147,13495,0.48335,0.17183,0.00284,0.98391,0.98646,0.99468,0.86932,0.54916,0.17637,0.00283,7.28e-05,7.28e-05,7.28e-05
148,13611.7,0.44128,0.19155,0.00228,0.9918,0.97506,0.99437,0.87067,0.54387,0.17739,0.00281,5.96e-05,5.96e-05,5.96e-05
149,13712.8,0.47636,0.17102,0.00273,0.99179,0.97379,0.99437,0.87111,0.54376,0.17848,0.0028,4.64e-05,4.64e-05,4.64e-05
150,13805.4,0.49097,0.18514,0.00282,0.99738,0.96774,0.99437,0.86936,0.54308,0.17947,0.00282,3.32e-05,3.32e-05,3.32e-05
